model,best_params,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_precision_macro_mean,cv_recall_macro_mean,train_accuracy_mean,bias_variance_gap,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_balanced_accuracy,test_top3_accuracy,test_roc_auc_macro_ovr,overfitting_flag
SoftVoting,top-3 ensemble from tuned base models,0.9909074699645136,0.00526977408336365,0.9908858145789122,0.0052810903016901525,0.9915855123261501,0.9909349909349908,0.9943182615860456,0.0034107916215320166,0.9931818181818182,0.9931690047222781,0.9937032664305392,0.993181818181818,0.993181818181818,1.0,1.0,False
GaussianNB,"{'distribution': 'passthrough', 'model__var_smoothing': 1e-09, 'poly': 'passthrough', 'reduce': 'passthrough', 'scale': StandardScaler()}",0.9909084390074674,0.005622699534377537,0.9908659627726172,0.005658446922727876,0.9917401696277883,0.9909349909349908,0.9917612009374276,0.0008527619299601996,0.9931818181818182,0.9931690047222781,0.9937032664305392,0.993181818181818,0.993181818181818,1.0,0.9999837662337662,False
Stacking,top-3 ensemble from tuned base models,0.9903405798365418,0.006272741315155047,0.9903584332660745,0.0062546799920661375,0.990905828951806,0.9903522403522403,0.9960228073156528,0.005682227479111068,0.9931818181818182,0.9931690047222781,0.9937032664305392,0.993181818181818,0.993181818181818,1.0,1.0,False
RandomForest,"{'scale': 'passthrough', 'reduce': 'passthrough', 'poly': 'passthrough', 'model__n_estimators': 300, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 12, 'distribution': 'passthrough'}",0.9903415488794955,0.0070002553617923525,0.9903152919134061,0.007044159597877715,0.990832805873592,0.9903306569973237,0.9991477271351966,0.00880617825570107,0.9931818181818182,0.9931690047222781,0.9937032664305392,0.993181818181818,0.993181818181818,1.0,1.0,False
LightGBM,"{'scale': 'passthrough', 'reduce': 'passthrough', 'poly': 'passthrough', 'model__estimator__num_leaves': 31, 'model__estimator__n_estimators': 150, 'model__estimator__max_depth': -1, 'model__estimator__learning_rate': 0.05, 'distribution': 'passthrough'}",0.9840892837415911,0.0029059977682263805,0.9841472671437249,0.002832384217673767,0.9851056383489762,0.9842225675559009,1.0,0.015910716258408897,0.9931818181818182,0.9931690047222781,0.9937032664305392,0.993181818181818,0.993181818181818,1.0,0.9999458874458874,False
LogisticRegression,"{'distribution': 'passthrough', 'model__C': 1.0, 'poly': PolynomialFeatures(include_bias=False, interaction_only=True), 'reduce': 'passthrough', 'scale': RobustScaler()}",0.9806801906301299,0.005272927180988798,0.9807268686253678,0.005195917819172187,0.9816160944680848,0.980812397479064,0.9920451305228903,0.01136493989276044,0.990909090909091,0.9908948561066659,0.991538764266037,0.9909090909090907,0.9909090909090907,1.0,0.9999891774891775,False
GradientBoosting,"{'scale': 'passthrough', 'reduce': 'passthrough', 'poly': 'passthrough', 'model__n_estimators': 250, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'distribution': 'passthrough'}",0.9801133005021581,0.004886288568570505,0.9802291608723293,0.004855220330286696,0.9815946862574254,0.9800785634118966,1.0,0.019886699497841942,0.990909090909091,0.9908691003415904,0.9919066440805572,0.990909090909091,0.990909090909091,1.0,0.9999404761904761,False
XGBoost,"{'scale': 'passthrough', 'reduce': 'passthrough', 'poly': 'passthrough', 'model__estimator__subsample': 0.9, 'model__estimator__n_estimators': 150, 'model__estimator__max_depth': 4, 'model__estimator__learning_rate': 0.05, 'model__estimator__colsample_bytree': 0.9, 'distribution': 'passthrough'}",0.9863665346830164,0.005010261143193961,0.9863812781005711,0.005065575223451871,0.9869221008876181,0.986359319692653,1.0,0.013633465316983617,0.990909090909091,0.9908479731650464,0.9910059239006608,0.990909090909091,0.990909090909091,1.0,0.9999783549783549,False
MLP,"{'scale': StandardScaler(), 'reduce': 'passthrough', 'poly': 'passthrough', 'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (100,), 'model__alpha': 0.001, 'distribution': PowerTransformer()}",0.9818168780149349,0.002137192983781189,0.9818213587849755,0.0020681334286689903,0.9825513220863273,0.9819131485798152,0.9982952122161853,0.016478334201250444,0.9886363636363636,0.9886292569219399,0.9889496468443837,0.9886363636363636,0.9886363636363636,1.0,0.9999783549783549,False
SVM,"{'scale': StandardScaler(), 'reduce': 'passthrough', 'poly': 'passthrough', 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 3.0, 'distribution': PowerTransformer()}",0.9829545344426937,0.005563877735650218,0.9829352810529416,0.005515743189459066,0.9840473179240233,0.9830354830354829,0.9917616850458426,0.008807150603148961,0.9886363636363636,0.9886121580601682,0.9895710350255804,0.9886363636363634,0.9886363636363634,,,False
KNN,"{'distribution': PowerTransformer(), 'model__n_neighbors': 5, 'model__weights': 'distance', 'poly': 'passthrough', 'reduce': PCA(n_components=0.95, random_state=42), 'scale': MinMaxScaler()}",0.9732941452362818,0.003224008383048373,0.973171707647626,0.0032154415030096707,0.9755027023708555,0.9734093067426399,1.0,0.02670585476371823,0.9863636363636363,0.9863380094445563,0.9874065328610784,0.9863636363636363,0.9863636363636363,0.9954545454545455,0.9975459956709958,False
DecisionTree,"{'distribution': 'passthrough', 'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'poly': 'passthrough', 'reduce': 'passthrough', 'scale': 'passthrough'}",0.9721603649803381,0.009865015380414562,0.9720391817686966,0.010144377486851009,0.9725221048409454,0.9722222222222222,1.0,0.027839635019661912,0.9681818181818181,0.9680570327611988,0.9701364292273382,0.968181818181818,0.968181818181818,0.9727272727272728,0.9833333333333332,False
